director_name,,duration,gross,title_year,budget,imdb_score,movie_facebook_likes,profit,profit_to_imdb_ratio
Justin Chadwick,75%,141.0,8324748.0,2013.0,35000000.0,7.0,13000.0,-26675252.0,-3757078.0
Justin Chadwick,max,141.0,8324748.0,2013.0,35000000.0,7.0,13000.0,-26675252.0,-3757078.0
Kathryn Bigelow,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kathryn Bigelow,mean,157.0,95720716.0,2012.0,40000000.0,7.0,39000.0,55720716.0,7529826.0
Kathryn Bigelow,min,157.0,95720716.0,2012.0,40000000.0,7.0,39000.0,55720716.0,7529826.0
Kathryn Bigelow,25%,157.0,95720716.0,2012.0,40000000.0,7.0,39000.0,55720716.0,7529826.0
Kathryn Bigelow,50%,157.0,95720716.0,2012.0,40000000.0,7.0,39000.0,55720716.0,7529826.0
Kathryn Bigelow,75%,157.0,95720716.0,2012.0,40000000.0,7.0,39000.0,55720716.0,7529826.0
Kathryn Bigelow,max,157.0,95720716.0,2012.0,40000000.0,7.0,39000.0,55720716.0,7529826.0
Kenneth Lonergan,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kenneth Lonergan,mean,186.0,46495.0,2011.0,14000000.0,6.0,0.0,-13953505.0,-2146693.0
Kenneth Lonergan,min,186.0,46495.0,2011.0,14000000.0,6.0,0.0,-13953505.0,-2146693.0
Kenneth Lonergan,25%,186.0,46495.0,2011.0,14000000.0,6.0,0.0,-13953505.0,-2146693.0
Kenneth Lonergan,50%,186.0,46495.0,2011.0,14000000.0,6.0,0.0,-13953505.0,-2146693.0
Kenneth Lonergan,75%,186.0,46495.0,2011.0,14000000.0,6.0,0.0,-13953505.0,-2146693.0
Kenneth Lonergan,max,186.0,46495.0,2011.0,14000000.0,6.0,0.0,-13953505.0,-2146693.0
Marc Webb,count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Marc Webb,mean,148.0,232442298.0,2013.0,215000000.0,7.0,48500.0,17442298.0,2500885.0
Marc Webb,std,8.0,41844267.0,1.0,21213203.0,0.0,10607.0,20631064.0,2934386.0
Marc Webb,min,142.0,202853933.0,2012.0,200000000.0,7.0,41000.0,2853933.0,425960.0
Marc Webb,25%,145.0,217648116.0,2012.0,207500000.0,7.0,44750.0,10148116.0,1463422.0
Marc Webb,50%,148.0,232442298.0,2013.0,215000000.0,7.0,48500.0,17442298.0,2500885.0
Marc Webb,75%,150.0,247236480.0,2014.0,222500000.0,7.0,52250.0,24736480.0,3538347.0
Marc Webb,max,153.0,262030663.0,2014.0,230000000.0,7.0,56000.0,32030663.0,4575809.0
Martin Scorsese,count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
